DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,COMERCIOCODIGO,COMERCIO,DIRECCION
AMAZONAS,BAGUA,ARAMANGO,010202,3019763,MINIMARKET BRIAM,AV VEINTIOCHO DE JULIO 515
AMAZONAS,BAGUA,ARAMANGO,010202,3357422,NEGOCIOS NORIS,AV PRINCIPAL S/N EL MUYO
AMAZONAS,BAGUA,ARAMANGO,010202,3519695,COMERCIAL TACABAMBA,AV PRINCIPAL 317
AMAZONAS,BAGUA,ARAMANGO,010202,3023881,MULTISERVICIOS ROJAS GROUP ,AV PRINCIPAL 128
AMAZONAS,BAGUA,ARAMANGO,010202,3489612,NEGOCIOS PANADERIA ROJAS,JR CEDRON MZ C LT 1
AMAZONAS,BAGUA,BAGUA,010201,3251713,BOTICA SANIDAD J&S EIRL,JR RODRIGUEZ DE MENDOZA 442
AMAZONAS,BAGUA,BAGUA,010201,3482138,MULTISERVICIOS FABY,AV BAGUA 1935
AMAZONAS,BAGUA,BAGUA,010201,3418791,MULTISERVICIOS JUAN DAVID,AV CIRCUNVALACION 164
AMAZONAS,BAGUA,BAGUA,010201,3498980,SERVICIOS MULTIPLES LOS ANGELITOS,JR AMAZONAS 575
AMAZONAS,BAGUA,BAGUA,010201,3499634,TIENDA DE PRODUCTOS NATURALESAURORA,AV HEROES DEL CENEPA 1313
AMAZONAS,BAGUA,BAGUA,010201,3502929,INTEL SERVICIOS VIRGEN DE GUADALUPE,AV HEROES DEL CENEPA 1763
AMAZONAS,BAGUA,BAGUA,010201,3442292,MUTLISERVICIOS ALVARADO,JR LA VERDAD 700
AMAZONAS,BAGUA,BAGUA,010201,3357431,SERVICIOS MULTIPLES LOS ANGELITOS,JR AMAZONAS 575
AMAZONAS,BAGUA,BAGUA,010201,3276872,GLOBAL SERVIS,JR ATAHUALPA S/N
AMAZONAS,BAGUA,BAGUA,010201,3282473,CIELITO,JR VEINTIOCHO DE JULIO 530 CENTRO DE BAGUA
AMAZONAS,BAGUA,BAGUA,010201,3520783,PELUQUERIA STICH LU,JR LA VERDAD MZ C LT 6
AMAZONAS,BAGUA,BAGUA,010201,3521613,BOTICA SHADDAI,JR AMAZONAS 666
AMAZONAS,BAGUA,BAGUA,010201,3521771,TELESERVICIOS KAORY,AV HEROES DEL CENEPA 1151
AMAZONAS,BAGUA,BAGUA,010201,3238385,TELECOMUNICACIONES LURVI,JR LIMA PUESTO 03 PARADA MUNICIPAL
AMAZONAS,BAGUA,BAGUA,010201,3020737,MULTISERVICIOS HOWEL KEVIN,JR LOS CEDROS 116
AMAZONAS,BAGUA,BAGUA,010201,3021733,CONSULTORIO PEDIATRIC KIDS,JR LAMBAYEQUE 550
AMAZONAS,BAGUA,BAGUA,010201,3030168,NEGOCIOS EMMANUEL,AV CIRCUNVALACION 166
AMAZONAS,BAGUA,BAGUA,010201,3005337,MULTISERVICIOS EL TERMINAL,AV HEROES DEL CENEPA C 02
AMAZONAS,BAGUA,BAGUA,010201,3029995,PUBLI CAR'S,JR ROQRIGUEZ DE MENDOZA 323
AMAZONAS,BAGUA,BAGUA,010201,3015127,SERVICIOS GENERALES MENA,AV HEROES DEL CENEPA 622
AMAZONAS,BAGUA,BAGUA,010201,3001611,MUNDO DIGITAL BAZAR LORENA,AV HEROES DEL CENEPA 1291
AMAZONAS,BAGUA,BAGUA,010201,3515630,COMERCIAL ELECTRONICA TANTALEAN,JR CIRCUNVALACION 1417
AMAZONAS,BAGUA,BAGUA,010201,3515861,SERVICIOS MULTIPLES LOS ANGELITOS,JR AMAZONAS 575
AMAZONAS,BAGUA,BAGUA,010201,3513892,MULTISERVICIOS HOWEL KEVIN,JR LOS CEDROS 116
AMAZONAS,BAGUA,BAGUA,010201,3518964,TIENDAS DE PRODUCTOS NATURALES AURORA,AV HEROES DEL CENEPA 1313
AMAZONAS,BAGUA,BAGUA,010201,3512987,BAZAR LOCUTORIO ANGELICA,JR RODRIGUEZ DE MENDOZA 757
AMAZONAS,BAGUA,BAGUA,010201,3515216,MUNDO DIGITAL BAZAR LORENA,AV HEROES DEL CENEPA 1291
AMAZONAS,BAGUA,BAGUA,010201,3009047,MULTISERVICIOS BAGUA,AV CIRCUNVALACION CDRA 11
AMAZONAS,BAGUA,BAGUA,010201,3009221,BODEGA ANJHUNY,JR MIRAFLORES 694
AMAZONAS,BAGUA,BAGUA,010201,3004970,DISTRIBUCIONES LUCIMAR,AV MARIANO MELGAR 597
AMAZONAS,BAGUA,BAGUA,010201,3003432,BOTICA UNYSALUD,JR AMAZONAS 750
AMAZONAS,BAGUA,COPALLIN,010203,3513296,BODEGA JHOSVIN,JR JOSE OLAYA 573
AMAZONAS,BAGUA,COPALLIN,010203,3020639,LIAM FARMA EIRL,AV GARCILAZO DE LA VEGA 470 
AMAZONAS,BAGUA,EL PARCO,010204,3020799,MUNICIPALIDAD DISTRITAL DE EL PARCO,JR AMAZONAS 221
AMAZONAS,BAGUA,IMAZA,010205,3010773,MULTIVENTAS LEO DAN,CASERIO PUERTO PACUI 668
AMAZONAS,BAGUA,IMAZA,010205,3029053,MULTINEGOCIOS S SEJEKAM,CP CHIPE CARRETERA NIEVA
AMAZONAS,BAGUA,IMAZA,010205,3029075,MULTISERVICIIOS ESTHER,CP NUEVO HUANCABAMBA S/N CARRETERA NIEVA
AMAZONAS,BAGUA,IMAZA,010205,3026255,MUNICIPALIDAD DISTRITAL DE IMAZA,AV AWAJUN S/N CP CHIIRIACO
AMAZONAS,BAGUA,IMAZA,010205,3023297,DAVILA NEYRA WILLAN ORLANDO,CALLE LOS AGUAJALES S/N
AMAZONAS,BAGUA,IMAZA,010205,3019263,ESMERALDA ROJAS ANEG,CALLE LAS DELICIAS 370 CHIRIA
AMAZONAS,BAGUA,IMAZA,010205,3022539,MULTISERVICIOS IMACITA,AV  IMAZA 380
AMAZONAS,BAGUA,IMAZA,010205,3022346,BODEGA CRISTOFER,CP  CHIPE S/N
AMAZONAS,BAGUA,IMAZA,010205,3449998,BOTICA MI ARCANGEL,AV IMAZA S/N IMACITA
AMAZONAS,BAGUA,IMAZA,010205,3280144,BOTICA MI SALUD,AV PRINCIPAL S/N CASERIO CHIRIACO
AMAZONAS,BAGUA,IMAZA,010205,3523421,MULTISERVICIOS DANIELITO,AV PRINCIPAL S/N
AMAZONAS,BAGUA,IMAZA,010205,3519449,NEGOCIOS CHINCHAY CRUZ,AV PRINCIPAL S/N CASERIO NUEVA HUANCABAMBA
AMAZONAS,BAGUA,IMAZA,010205,3503020,BOTICA DANNY,AV IMACITA S/N CPM IMACITA
AMAZONAS,BAGUA,IMAZA,010205,3520788,NEGOCIOS MI YESLY,JR JUNIN S/N CHIRIACO
AMAZONAS,BAGUA,IMAZA,010205,3018694,NEGOCIOS DEL ORIENTE,AV MARAÑON CP IMAZA
AMAZONAS,BAGUA,IMAZA,010205,3017110,MULTISERVICIOS IMACITA,AV IMAZA 380
AMAZONAS,BAGUA,IMAZA,010205,3014594,NEGOCIOS YOVANA,AV PRINCIPAL SN
AMAZONAS,BAGUA,IMAZA,010205,3019248,INVERSIONES KAORY,JR AMAZONAS 150 CP IMACITA
AMAZONAS,BAGUA,IMAZA,010205,3009902,NEGOCIOS YOANIS,CENTRO POBLADO TUPAC AMARU I
AMAZONAS,BAGUA,IMAZA,010205,3010604,INVERSIONES Y SERVICIOS DAYBER,CENTRO POBLADO CHIRIACO
