UT,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,USUARIOS_ABONADOS,PUNTOS_PAGO
AMAZONAS - BAGUA,AMAZONAS,BAGUA,ARAMANGO,010202,1002,4
AMAZONAS - BAGUA,AMAZONAS,BAGUA,BAGUA,010201,756,3
AMAZONAS - BAGUA,AMAZONAS,BAGUA,COPALLÍN,010203,477,1
AMAZONAS - BAGUA,AMAZONAS,BAGUA,EL PARCO,010204,127,0
AMAZONAS - BAGUA,AMAZONAS,BAGUA,LA PECA,010206,671,3
AMAZONAS - BAGUA,AMAZONAS,BONGARÁ,CHISQUILLA,010302,25,1
AMAZONAS - BAGUA,AMAZONAS,BONGARÁ,CHURUJA,010303,7,0
AMAZONAS - BAGUA,AMAZONAS,BONGARÁ,COROSHA,010304,94,1
AMAZONAS - BAGUA,AMAZONAS,BONGARÁ,CUISPES,010305,42,1
AMAZONAS - BAGUA,AMAZONAS,BONGARÁ,FLORIDA,010306,291,2
AMAZONAS - BAGUA,AMAZONAS,BONGARÁ,JAZÁN,010307,286,3
AMAZONAS - BAGUA,AMAZONAS,BONGARÁ,JUMBILLA,010301,70,1
AMAZONAS - BAGUA,AMAZONAS,BONGARÁ,RECTA,010308,23,0
AMAZONAS - BAGUA,AMAZONAS,BONGARÁ,SAN CARLOS,010309,5,1
AMAZONAS - BAGUA,AMAZONAS,BONGARÁ,SHIPASBAMBA,010310,117,1
AMAZONAS - BAGUA,AMAZONAS,BONGARÁ,VALERA,010311,41,0
AMAZONAS - BAGUA,AMAZONAS,BONGARÁ,YAMBRASBAMBA,010312,563,3
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,ASUNCIÓN,010102,13,1
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,BALSAS,010103,97,1
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,010101,610,3
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,CHETO,010104,37,1
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,CHILIQUÍN,010105,49,1
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,010106,162,1
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,GRANADA,010107,24,1
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,HUANCAS,010108,28,0
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,LA JALCA,010109,599,1
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,010110,188,2
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,LEVANTO,010111,23,1
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,MAGDALENA,010112,56,1
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,010113,58,1
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,010114,140,1
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,010115,24,0
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,OLLEROS,010116,25,0
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,QUINJALCA,010117,64,0
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,010118,8,0
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,010119,45,1
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,SOLOCO,010120,92,1
AMAZONAS - BAGUA,AMAZONAS,CHACHAPOYAS,SONCHE,010121,17,0
AMAZONAS - BAGUA,AMAZONAS,LUYA,CAMPORREDONDO,010502,637,7
AMAZONAS - BAGUA,AMAZONAS,LUYA,COCABAMBA,010503,193,1
AMAZONAS - BAGUA,AMAZONAS,LUYA,COLCAMAR,010504,141,1
AMAZONAS - BAGUA,AMAZONAS,LUYA,CONILA,010505,158,2
AMAZONAS - BAGUA,AMAZONAS,LUYA,INGUILPATA,010506,16,1
AMAZONAS - BAGUA,AMAZONAS,LUYA,LÁMUD,010501,71,2
AMAZONAS - BAGUA,AMAZONAS,LUYA,LONGUITA,010507,94,2
AMAZONAS - BAGUA,AMAZONAS,LUYA,LONYA CHICO,010508,64,0
AMAZONAS - BAGUA,AMAZONAS,LUYA,LUYA,010509,175,1
AMAZONAS - BAGUA,AMAZONAS,LUYA,LUYA VIEJO,010510,31,1
AMAZONAS - BAGUA,AMAZONAS,LUYA,MARÍA,010511,53,1
AMAZONAS - BAGUA,AMAZONAS,LUYA,OCALLÍ,010512,258,4
AMAZONAS - BAGUA,AMAZONAS,LUYA,OCÚMAL,010513,353,3
AMAZONAS - BAGUA,AMAZONAS,LUYA,PISUQUÍA,010514,541,1
AMAZONAS - BAGUA,AMAZONAS,LUYA,PROVIDENCIA,010515,150,2
AMAZONAS - BAGUA,AMAZONAS,LUYA,SAN CRISTÓBAL,010516,45,1
AMAZONAS - BAGUA,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,010517,48,0
AMAZONAS - BAGUA,AMAZONAS,LUYA,SAN JERÓNIMO,010518,48,0
AMAZONAS - BAGUA,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,010519,27,0
AMAZONAS - BAGUA,AMAZONAS,LUYA,SANTA CATALINA,010520,208,0
AMAZONAS - BAGUA,AMAZONAS,LUYA,SANTO TOMÁS,010521,244,1
AMAZONAS - BAGUA,AMAZONAS,LUYA,TINGO,010522,84,1
AMAZONAS - BAGUA,AMAZONAS,LUYA,TRITA,010523,110,1
AMAZONAS - BAGUA,AMAZONAS,RODRÍGUEZ DE MENDOZA,CHIRIMOTO,010602,200,1
AMAZONAS - BAGUA,AMAZONAS,RODRÍGUEZ DE MENDOZA,COCHAMAL,010603,56,1
AMAZONAS - BAGUA,AMAZONAS,RODRÍGUEZ DE MENDOZA,HUAMBO,010604,58,1
AMAZONAS - BAGUA,AMAZONAS,RODRÍGUEZ DE MENDOZA,LIMABAMBA,010605,150,1
AMAZONAS - BAGUA,AMAZONAS,RODRÍGUEZ DE MENDOZA,LONGAR,010606,64,1
AMAZONAS - BAGUA,AMAZONAS,RODRÍGUEZ DE MENDOZA,MARISCAL BENAVIDES,010607,88,1
AMAZONAS - BAGUA,AMAZONAS,RODRÍGUEZ DE MENDOZA,MILPUC,010608,13,0
AMAZONAS - BAGUA,AMAZONAS,RODRÍGUEZ DE MENDOZA,OMIA,010609,879,1
AMAZONAS - BAGUA,AMAZONAS,RODRÍGUEZ DE MENDOZA,SAN NICOLÁS,010601,113,2
AMAZONAS - BAGUA,AMAZONAS,RODRÍGUEZ DE MENDOZA,SANTA ROSA,010610,35,0
AMAZONAS - BAGUA,AMAZONAS,RODRÍGUEZ DE MENDOZA,TOTORA,010611,8,0
AMAZONAS - BAGUA,AMAZONAS,RODRÍGUEZ DE MENDOZA,VISTA ALEGRE,010612,369,0
AMAZONAS - BAGUA,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,010701,2768,6
AMAZONAS - BAGUA,AMAZONAS,UTCUBAMBA,CAJARURO,010702,2695,7
AMAZONAS - BAGUA,AMAZONAS,UTCUBAMBA,CUMBA,010703,1006,10
AMAZONAS - BAGUA,AMAZONAS,UTCUBAMBA,EL MILAGRO,010704,400,1
AMAZONAS - BAGUA,AMAZONAS,UTCUBAMBA,JAMALCA,010705,782,1
AMAZONAS - BAGUA,AMAZONAS,UTCUBAMBA,LONYA GRANDE,010706,951,2
AMAZONAS - BAGUA,AMAZONAS,UTCUBAMBA,YAMÓN,010707,292,2
